Roggenbier (German Rye Beer),6,4.5,1.014,1.01,20,10,1.056,1.046,19,14
Witbier,5.5,4.5,1.012,1.008,20,10,1.052,1.044,4,2
Belgian Pale Ale,5.5,4.8,1.014,1.01,30,20,1.054,1.048,14,8
Saison,7,5,1.012,1.002,35,20,1.065,1.048,14,5
Biére de Garde,,,,,,,,,,
Berlinner Weisse,3.8,2.8,1.006,1.003,8,3,1.032,1.028,3,2
Flanders Red Ale,6.5,4.6,1.012,1.002,25,10,1.057,1.048,16,10
Flanders Brown Ale/Oud Bruin,8,4,1.012,1.008,25,20,1.074,1.04,22,15
Straight (Unblended) Lambic,6.5,5,1.01,1.001,10,0,1.054,1.04,7,3
Gueuze,8,5,1.006,1,10,0,1.06,1.04,7,3
Fruit Lambic,7,5,1.01,1,10,0,1.06,1.04,7,3
Belgian Blond Ale,7.5,6,1.018,1.008,30,15,1.075,1.063,7,4
Belgian Dubbel,7.6,6,1.018,1.008,25,15,1.075,1.062,17,10
Belgian Tripel,9.5,7.5,1.014,1.008,40,20,1.085,1.075,7,4.5
Belgian Golden Strong Ale,10.5,7.5,1.016,1.005,35,22,1.095,1.07,6,3
Belgian Dark Strong Ale,11,8,1.024,1.01,35,20,1.11,1.075,22,12
Old Ale,9,6,1.022,1.015,60,30,1.09,1.06,22,10
English Barleywine,12,8,1.03,1.018,70,35,1.12,1.08,22,8
American Barleywine,12,8,1.03,1.016,120,50,1.12,1.08,19,10
Fruit Beer,,,,,,,,,,
Spice/Herb/Vegetable Beer,,,,,,,,,,
Christmas/Winter Special,,,,,,,,,,
Spiced Beer,,,,,,,,,,
Classic Rauchbier,6,4.8,1.016,1.012,30,20,1.057,1.05,22,12
Other Smoked Beer,,,,,,,,,,
Wood-Aged Beer,,,,,,,,,,
Other Speciality Beer,,,,,,,,,,
