Maple Syrup,"dry, woodsy","Imparts a dry, woodsy flavor if used in the boil. If beer is bottled with it, it gives it a smooth sweet, maple taste. Use in maple ales, pale ales, brown ales and porters.",1,30,30,35,35
Maris Otter,,Premium base malt for any beer. Good for pale ales.,,38,38,3,3
Melanoidin Malt,,"For amber lagers and ales, dark lagers and ales, Scottish & red ales.",,33,33,31,23
Mild Ale Malt,"dry, nutty, malty","Dry, nutty malty flavor. Promotes body. Use in English mild ales.",,37,37,2.7,2.3
Molasses,strongly sweet,Imparts strong sweet flavor. Use in stouts and porters.,1,36,36,80,80
Munich Malt,"sweet, toasted","Sweet, toasted flavor and aroma. For Oktoberfests and malty styles.",,34,34,10,10
Munich Malt - Light,"malty, nutty","For a desired malty, nutty flavor. Lagers, Oktoberfests and bock beer.",,34,34,6,5
Oat Malt,,"Enhances body and flavor. For winter beers, stouts, porters and other robust beers.",,34,34,4,4
Pale Ale,,Moderate malt flavor. Used to produce traditional English and Scottish style ales.,,38,38,2.2,2.2
Pale Chocolate Malt,"mildly roasted, mildly chocolate, mildly coffee","Less roasted than regular chocolate malt, adds color and mild chocolate/coffee flavors to porters, milds & stouts.",,34,34,250,180
Pale Malt 2-row,smooth,"Smooth, less grainy, moderate malt flavor. Basic malt for all beer styles.",,38,37,8,5
Pale Malt 6-row,,Moderate malt flavor. Basic malt for all beer styles.,,35,35,8,5
Pale Wheat,strong head retention,Can be used in amounts of up to 70% of grist to create many wheat beer styles and aid in head retention in smaller amounts.,,38,38,2,2
Peat Smoked Malt,Robustly smoky falvor and aroma,Imparts a robust smoky flavor and aroma. For Scottish ales and wee heavies.,,34,34,2.8,2.8
Rauch Smoked Malt,Robustly smoky falvor and aroma,"For rauchbier, kellerbier, smoked porters, Scottish ales and barleywines.",,37,37,4,2
Rice Solids,,Lightens flavor without taste. Use in American and Asian lagers.,,40,40,0,0
Roasted Barley,"dry, roasted, Sweet, grainy, coffee, deep red","Dry, roasted, Sweet, grainy, coffee flavor and a red to deep brown color. For porters and stouts.",,25,25,300,500
Roasted Wheat,"slightly roasted, nut-like","Slightly roasted wheat which imparts a bready, nut-like quality.",,36,36,14,10
Rye Malt,dry,"Dry character. Can use as a base malt. For seasonal beers, roggenbier and ales.",,29,29,4.3,2.8
Scotmalt Golden Promise,,Scottish pale ale malt; base malt for all Scottish beers.,,38,38,2.4,2.4
Special B Malt,extreme caramel aroma and flavor,Extreme caramel aroma and flavor. For dark Abbey beers and other dark beers.,,30,30,220,130
Special Roast,,Provides a deep golden to brown color for ales. Use in all darker ales.,,35,35,50,50
Sucrose - White Sugar,,Increases alcohol. Use in Australian lagers and English bitters.,1,46,46,0,0
Toasted Pale Malt,nutty flavor and aroma,Imparts nutty flavor and aroma. Use in IPAs and Scottish ales.,,38,38,25,25
Torrified Wheat,,"Puffed wheat created by high heat. Use in pale ales, bitters and milds.",,36,36,5,1
Treacle,intense sweet flavor,"Imparts intense, sweet flavor. A British mixture of molasses, invert sugar and golden syrup (corn syrup). Use in dark English ales.",,36,36,100,100
Victory Malt,,"Provides a deep golden to brown color. Use in nut brown ales, IPAs and Scottish ales.",,34,34,25,25
Viennna Malt,malty flavor,"Increases malty flavor, provides balance. Use in Vienna, Märzen and Oktoberfest.",,35,35,4,3.2
Wheat Malt,creamy head,"Light flavor and creamy head. For American weizenbier, weissbier and dunkelweiss.",,38,38,2,5
Wheat Malt - Dark,,,,39,39,8,6
Wheat Malt - White,malty flavor,"Imparts a malty flavor. For American wheat beers, wheat bock and doppel bock.",,37,37,2,2
